No.,Kabupaten,Produksi Padi (ton GKG),Produksi Padi (ton GKG),Produksi Padi (ton GKG),Produksi Padi (ton GKG),Luas Panen (Ha),Luas Panen (Ha),Luas Panen (Ha),Luas Panen (Ha),Produktivitas Padi (Ku/ha),Produktivitas Padi (Ku/ha),Produktivitas Padi (Ku/ha),Produktivitas Padi (Ku/ha),Persentase Penduduk Miskin (Persen),Persentase Penduduk Miskin (Persen),Persentase Penduduk Miskin (Persen),Persentase Penduduk Miskin (Persen),Total Rata-rata Upah/Gaji Bersih (Rupiah),Total Rata-rata Upah/Gaji Bersih (Rupiah),Total Rata-rata Upah/Gaji Bersih (Rupiah),Total Rata-rata Upah/Gaji Bersih (Rupiah),PRDB per Kapita AHB (Ribu Rupiah),PRDB per Kapita AHB (Ribu Rupiah),PRDB per Kapita AHB (Ribu Rupiah),PRDB per Kapita AHB (Ribu Rupiah),Jumlah Balita Stunting (Jiwa),Jumlah Balita Stunting (Jiwa),Jumlah Balita Stunting (Jiwa),Jumlah Balita Stunting (Jiwa),Akses Air Minum Layak (Persen),Akses Air Minum Layak (Persen),Akses Air Minum Layak (Persen),Akses Air Minum Layak (Persen),Akses Sanitasi Layak (Persen),Akses Sanitasi Layak (Persen),Akses Sanitasi Layak (Persen),Akses Sanitasi Layak (Persen),Pengeluaran per Kapita Makanan (Persen),Pengeluaran per Kapita Makanan (Persen),Pengeluaran per Kapita Makanan (Persen),Pengeluaran per Kapita Makanan (Persen)
,,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022,2025,2024,2023,2022
1,Sumba Barat,"36,479.00","23,384.00","31,146.00","30,180.00","8,235.00","6,350.94","8,525.03","8,953.78",44.30,36.82,36.54,33.71,26.47%,26.52%,27.17%,27.47%,,"2,461,984.00","2,944,850.00","2,386,677.00","20,625.00","19,400.00","18,279.00","17,245.00","1,811.00","1,787.00","1,291.00","2,611.00",85.38,84.00,86.86,81.55,62.82,60.76,58.83,52.84,52.88,56.29,54.48,55.03
2,Sumba Timur,"90,700.00","49,408.00","62,878.00","52,284.00","22,051.00","13,509.34","15,711.13","14,602.19",41.13,36.57,40.02,35.81,25.64%,27.04%,28.08%,28.22%,,"2,479,738.00","2,692,749.00","2,063,491.00","32,391.00","30,114.00","28,733.00","27,133.00","3,266.00","3,365.00","2,677.00","3,748.00",82.41,73.31,70.39,74.88,70.10,65.88,61.81,59.76,55.53,58.00,52.50,55.16
3,Kupang,"94,389.00","63,042.00","83,408.00","61,255.00","17,746.00","12,508.23","18,609.03","15,479.07",53.19,50.40,44.82,39.57,20.32%,21.37%,21.78%,21.70%,,"2,275,547.00","2,073,095.00","1,936,238.00","28,501.00","26,499.00","24,436.00","22,733.00","3,741.00","3,902.00","3,872.00","6,118.00",90.62,90.16,87.59,83.06,77.12,73.34,76.42,78.15,56.77,55.01,53.16,50.41
4,Timor Tengah Selatan,"28,908.00","15,133.00","15,778.00","15,616.00","6,544.00","3,409.50","3,888.33","3,345.01",44.17,44.39,40.58,46.68,24.50%,24.68%,25.18%,25.45%,,"1,961,471.00","2,523,304.00","1,971,038.00","22,462.00","21,219.00","19,993.00","18,836.00","12,229.00","9,251.00","8,924.00","11,642.00",71.69,75.48,73.44,70.81,71.13,70.72,67.93,60.52,54.29,58.13,58.18,59.65
5,Belu,"21,946.00","11,810.00","13,416.00","23,239.00","4,890.00","3,756.66","4,125.97","5,357.34",44.88,21.44,32.52,43.38,12.79%,13.86%,14.30%,14.84%,,"2,281,319.00","2,135,607.00","2,251,570.00","26,765.00","25,170.00","23,732.00","22,251.00","4,088.00","2,351.00","1,984.00","2,473.00",87.38,86.36,87.96,92.53,86.89,85.78,83.95,83.96,52.56,56.39,55.89,58.10
6,Alor,"4,649.00","3,155.00","1,958.00","3,556.00","1,309.00","1,036.10",617.72,"1,188.15",35.52,30.45,31.70,29.93,18.29%,19.87%,19.97%,20.25%,,"1,878,321.00","1,932,797.00","1,783,481.00","18,775.00","17,723.00","16,416.00","15,425.00","2,888.00","2,260.00","1,773.00","2,119.00",91.74,87.28,89.10,90.50,88.39,85.83,81.57,81.59,60.16,56.41,55.78,59.85
7,Lembata,"1,778.00",752.00,833.00,201.00,454.00,256.13,280.64,45.54,39.16,29.34,29.69,44.16,23.27%,24.22%,24.78%,25.18%,,"2,531,964.00","2,269,689.00","2,096,398.00","16,953.00","15,975.00","15,228.00","14,492.00",768.00,673.00,"1,045.00","1,398.00",95.48,96.72,97.65,94.09,92.61,88.61,87.36,88.41,55.55,55.08,54.71,52.29
8,Rote Ndao,"60,939.00","26,913.00","30,767.00","28,835.00","14,224.00","6,919.65","7,767.75","7,941.17",42.84,38.89,39.61,36.31,24.37%,25.78%,27.05%,27.45%,,"2,231,417.00","2,644,350.00","2,270,162.00","27,904.00","25,603.00","24,793.00","23,654.00","1,780.00","2,359.00","2,764.00","3,011.00",87.18,82.48,84.27,82.12,88.19,85.16,84.92,88.82,49.09,54.13,53.64,52.98
9,Sumba Tengah,"31,002.00","21,822.00","23,484.00","24,187.00","6,899.00","5,109.50","6,916.75","6,317.27",44.93,42.71,33.95,38.29,29.23%,30.84%,31.78%,32.51%,,"2,119,385.00","2,282,113.00","1,976,217.00","17,674.00","16,536.00","15,354.00","14,698.00",944.00,"1,036.00",549.00,659.00,65.18,59.59,56.66,61.18,62.31,52.51,48.22,54.29,60.91,60.51,56.59,58.22
10,Sumba Barat Daya,"43,728.00","40,038.00","49,691.00","49,435.00","13,660.00","13,253.47","14,302.87","13,332.65",32.01,30.21,34.74,37.08,25.66%,27.20%,27.48%,27.16%,,"1,916,136.00","1,810,212.00","1,845,438.00","15,759.00","14,890.00","13,982.00","13,242.00","6,090.00","6,730.00","9,762.00","8,270.00",90.61,86.12,83.65,80.41,58.48,52.60,49.82,45.83,63.18,62.31,62.65,62.29
11,Manggarai Timur,"73,630.00","70,874.00","73,843.00","77,979.00","16,935.00","15,407.23","16,465.59","16,513.01",43.48,46.00,44.85,47.22,23.51%,24.90%,25.06%,25.35%,,"1,855,594.00","2,327,810.00","1,382,402.00","15,228.00","14,367.00","13,516.00","12,789.00","1,698.00","1,992.00","2,195.00","2,408.00",85.21,88.18,84.41,80.45,64.18,55.75,54.82,51.83,63.58,61.80,62.43,63.75
12,Sabu Raijua,"10,376.00","2,789.00","6,645.00","7,205.00","1,959.00",723.57,"1,458.30","1,488.72",52.96,38.54,45.57,48.40,27.18%,28.13%,28.37%,28.73%,,"2,113,385.00","2,404,729.00","2,118,613.00","19,967.00","18,699.00","17,445.00","16,824.00","1,579.00","1,626.00","1,230.00","1,496.00",77.51,72.95,72.24,59.96,86.96,83.51,75.21,69.60,60.17,55.99,58.39,58.83
13,Malaka,"38,486.00","23,190.00","27,592.00","25,806.00","7,855.00","6,063.09","7,054.92","6,815.93",48.99,38.25,39.11,37.86,13.52%,13.92%,14.42%,15.26%,,"2,072,346.00","2,025,747.00","1,628,383.00","20,661.00","19,482.00","17,919.00","16,681.00","3,482.00","2,289.00","2,409.00","2,582.00",94.00,90.98,92.56,89.68,75.48,73.70,71.32,70.88,52.05,56.14,53.32,58.10